Year;Quarter;GBP_USD;GBP_EUR;GBP_JPY;GBP_CNY;GBP_AUD;Brexit_Period
2016;Q1;1.3613;1.1852;146.0;8.6735;1.8053;Pre-Brexit
2016;Q2;1.3643;1.2487;144.33;8.7787;1.7298;Pre-Brexit
2016;Q3;1.3272;1.2204;143.8;8.6606;1.796;Pre-Brexit
2016;Q4;1.3536;1.1995;148.79;8.9838;1.7273;Pre-Brexit
2017;Q1;1.3137;1.1536;142.62;8.5397;1.7261;Pre-Brexit
2017;Q2;1.2774;1.1121;140.52;8.9018;1.6905;Pre-Brexit
2017;Q3;1.3138;1.1557;144.31;8.9675;1.6678;Pre-Brexit
2017;Q4;1.294;1.1625;145.02;8.9092;1.6878;Pre-Brexit
2018;Q1;1.3463;1.0992;145.58;8.7184;1.7351;Pre-Brexit
2018;Q2;1.3087;1.1029;146.03;8.9019;1.7656;Pre-Brexit
2018;Q3;1.3196;1.1103;145.93;9.0613;1.7958;Pre-Brexit
2018;Q4;1.3387;1.1077;150.03;8.6517;1.7671;Pre-Brexit
2019;Q1;1.3176;1.1798;139.47;9.13;1.8779;Pre-Brexit
2019;Q2;1.3012;1.151;135.1;8.93;1.8144;Pre-Brexit
2019;Q3;1.2578;1.2011;142.14;8.9296;1.8572;Pre-Brexit
2019;Q4;1.272;1.1991;138.66;8.9026;1.812;Pre-Brexit
2020;Q1;1.2847;1.0843;135.69;9.1022;1.7991;Transition
2020;Q2;1.2584;1.1328;135.08;8.6718;1.7608;Transition
2020;Q3;1.25;1.1084;137.37;8.8485;1.7626;Transition
2020;Q4;1.2709;1.1327;135.24;9.1413;1.8492;Transition
2021;Q1;1.3396;1.1754;153.66;8.8696;1.7945;Post-Brexit
2021;Q2;1.3917;1.133;151.41;8.8254;1.8696;Post-Brexit
2021;Q3;1.4111;1.1435;152.01;8.6794;1.8651;Post-Brexit
2021;Q4;1.4107;1.146;153.27;8.9079;1.7821;Post-Brexit
2022;Q1;1.2595;1.1728;163.69;8.6357;1.7073;Post-Brexit
2022;Q2;1.2269;1.1363;165.15;8.8159;1.795;Post-Brexit
2022;Q3;1.2257;1.139;164.65;8.8512;1.7162;Post-Brexit
2022;Q4;1.239;1.1398;163.52;8.7575;1.7208;Post-Brexit
2023;Q1;1.2681;1.1534;177.46;9.2113;1.8912;Post-Brexit
2023;Q2;1.248;1.1527;182.48;8.8484;1.8785;Post-Brexit
2023;Q3;1.3077;1.1603;179.33;9.0195;1.8568;Post-Brexit
2023;Q4;1.249;1.1388;180.95;8.8641;1.8681;Post-Brexit
2024;Q1;1.2471;1.1792;188.88;9.4033;1.9921;Post-Brexit
2024;Q2;1.247;1.1516;193.95;9.0226;1.907;Post-Brexit
2024;Q3;1.3134;1.175;191.69;9.3368;1.986;Post-Brexit
2024;Q4;1.2562;1.1417;191.21;9.1379;1.9461;Post-Brexit
